2026-02-24T03:03:54.113025200+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=4411
2026-02-24T03:04:01.633671400+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=4631
2026-02-24T03:04:24.255863300+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=2267
2026-02-24T03:04:27.644040900+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=4631
2026-02-24T03:04:33.921043300+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=4631
2026-02-24T03:04:57.541698500+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=910
2026-02-24T03:05:06.647396200+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=3541
2026-02-24T03:05:27.826230800+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=3541
2026-02-24T03:05:55.970246500+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=3640
2026-02-24T03:06:01.679245700+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=3640
2026-02-24T03:25:06.293365900+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=1423
2026-02-24T03:25:09.593105800+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=1324
2026-02-24T03:25:11.836399500+00:00 | base=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory | runtime=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\runtime | model=C:\Users\User\Desktop\chattyfactorysyntaxsquashing\chattyfactory\models\qwen2.5-1.5b-instruct-q4_k_m.gguf | prompt_len=3789
